work_id,section_id,topic_ids
institutes-1559,inst1559_1_1,""
institutes-1559,inst1559_1_2,""
institutes-1559,inst1559_1_3,""
institutes-1559,inst1559_1_4,""
institutes-1559,inst1559_1_5,""
institutes-1559,inst1559_1_6,""
institutes-1559,inst1559_1_7,""
institutes-1559,inst1559_1_8,""
institutes-1559,inst1559_1_9,""
institutes-1559,inst1559_1_10,""
institutes-1559,inst1559_1_11,""
institutes-1559,inst1559_1_12,""
institutes-1559,inst1559_1_13,""
institutes-1559,inst1559_1_14,""
institutes-1559,inst1559_1_15,""
institutes-1559,inst1559_1_16,""
institutes-1559,inst1559_1_17,""
institutes-1559,inst1559_1_18,""
institutes-1559,inst1559_2_1,""
institutes-1559,inst1559_2_2,""
institutes-1559,inst1559_2_3,""
institutes-1559,inst1559_2_4,""
institutes-1559,inst1559_2_5,""
institutes-1559,inst1559_2_6,""
institutes-1559,inst1559_2_7,""
institutes-1559,inst1559_2_8,""
institutes-1559,inst1559_2_9,""
institutes-1559,inst1559_2_10,""
institutes-1559,inst1559_2_11,""
institutes-1559,inst1559_2_12,""
institutes-1559,inst1559_2_13,""
institutes-1559,inst1559_2_14,""
institutes-1559,inst1559_2_15,""
institutes-1559,inst1559_2_16,""
institutes-1559,inst1559_2_17,""
institutes-1559,inst1559_3_1,""
institutes-1559,inst1559_3_2,""
institutes-1559,inst1559_3_3,""
institutes-1559,inst1559_3_4,""
institutes-1559,inst1559_3_5,""
institutes-1559,inst1559_3_6,""
institutes-1559,inst1559_3_7,""
institutes-1559,inst1559_3_8,""
institutes-1559,inst1559_3_9,""
institutes-1559,inst1559_3_10,""
institutes-1559,inst1559_3_11,""
institutes-1559,inst1559_3_12,""
institutes-1559,inst1559_3_13,""
institutes-1559,inst1559_3_14,""
institutes-1559,inst1559_3_15,""
institutes-1559,inst1559_3_16,""
institutes-1559,inst1559_3_17,""
institutes-1559,inst1559_3_18,""
institutes-1559,inst1559_3_19,""
institutes-1559,inst1559_3_20,""
institutes-1559,inst1559_3_21,""
institutes-1559,inst1559_3_22,""
institutes-1559,inst1559_3_23,""
institutes-1559,inst1559_3_24,""
institutes-1559,inst1559_3_25,""
institutes-1559,inst1559_4_1,""
institutes-1559,inst1559_4_2,""
institutes-1559,inst1559_4_3,""
institutes-1559,inst1559_4_4,""
institutes-1559,inst1559_4_5,""
institutes-1559,inst1559_4_6,""
institutes-1559,inst1559_4_7,""
institutes-1559,inst1559_4_8,""
institutes-1559,inst1559_4_9,""
institutes-1559,inst1559_4_10,""
institutes-1559,inst1559_4_11,""
institutes-1559,inst1559_4_12,""
institutes-1559,inst1559_4_13,""
institutes-1559,inst1559_4_14,""
institutes-1559,inst1559_4_15,""
institutes-1559,inst1559_4_16,""
institutes-1559,inst1559_4_17,""
institutes-1559,inst1559_4_18,""
institutes-1559,inst1559_4_19,""
institutes-1559,inst1559_4_20,""
summa,summa_1_1,""
summa,summa_1_2,""
summa,summa_1_3,""
summa,summa_1_4,""
summa,summa_1_5,""
summa,summa_1_6,""
summa,summa_1_7,""
summa,summa_1_8,""
summa,summa_1_9,""
summa,summa_1_10,""
summa,summa_1_11,""
summa,summa_1_12,""
summa,summa_1_13,""
summa,summa_1_14,""
summa,summa_1_15,""
summa,summa_1_16,""
summa,summa_1_17,""
summa,summa_1_18,""
summa,summa_1_19,""
summa,summa_1_20,""
summa,summa_1_21,""
summa,summa_1_22,""
summa,summa_1_23,""
summa,summa_1_24,""
summa,summa_1_25,""
summa,summa_1_26,""
summa,summa_1_27,""
summa,summa_1_28,""
summa,summa_1_29,""
summa,summa_1_30,""
summa,summa_1_31,""
summa,summa_1_32,""
summa,summa_1_33,""
summa,summa_1_34,""
summa,summa_1_35,""
summa,summa_1_36,""
summa,summa_1_37,""
summa,summa_1_38,""
summa,summa_1_39,""
summa,summa_1_40,""
summa,summa_1_41,""
summa,summa_1_42,""
summa,summa_1_43,""
summa,summa_1_44,""
summa,summa_1_45,""
summa,summa_1_46,""
summa,summa_1_47,""
summa,summa_1_48,""
summa,summa_1_49,""
summa,summa_1_50,""
summa,summa_1_51,""
summa,summa_1_52,""
summa,summa_1_53,""
summa,summa_1_54,""
summa,summa_1_55,""
summa,summa_1_56,""
summa,summa_1_57,""
summa,summa_1_58,""
summa,summa_1_59,""
summa,summa_1_60,""
summa,summa_1_61,""
summa,summa_1_62,""
summa,summa_1_63,""
summa,summa_1_64,""
summa,summa_1_65,""
summa,summa_1_66,""
summa,summa_1_67,""
summa,summa_1_68,""
summa,summa_1_69,""
summa,summa_1_70,""
summa,summa_1_71,""
summa,summa_1_72,""
summa,summa_1_73,""
summa,summa_1_74,""
summa,summa_1_75,""
summa,summa_1_76,""
summa,summa_1_77,""
summa,summa_1_78,""
summa,summa_1_79,""
summa,summa_1_80,""
summa,summa_1_81,""
summa,summa_1_82,""
summa,summa_1_83,""
summa,summa_1_84,""
summa,summa_1_85,""
summa,summa_1_86,""
summa,summa_1_87,""
summa,summa_1_88,""
summa,summa_1_89,""
summa,summa_1_90,""
summa,summa_1_91,""
summa,summa_1_92,""
summa,summa_1_93,""
summa,summa_1_94,""
summa,summa_1_95,""
summa,summa_1_96,""
summa,summa_1_97,""
summa,summa_1_98,""
summa,summa_1_99,""
summa,summa_1_100,""
summa,summa_1_101,""
summa,summa_1_102,""
summa,summa_1_103,""
summa,summa_1_104,""
summa,summa_1_105,""
summa,summa_1_106,""
summa,summa_1_107,""
summa,summa_1_108,""
summa,summa_1_109,""
summa,summa_1_110,""
summa,summa_1_111,""
summa,summa_1_112,""
summa,summa_1_113,""
summa,summa_1_114,""
summa,summa_1_115,""
summa,summa_1_116,""
summa,summa_1_117,""
summa,summa_1_118,""
summa,summa_1_119,""
